id,student_info_id,father_name,father_occupation,father_phone,mother_name,mother_occupation,mother_phone,guardian_name,guardian_relationship,guardian_phone,created_at,updated_at,deleted_at
,C00-0033,,,,,,,Jose Jenkins,Aunt,9873598971,33:38.1,33:38.1,
,C00-0034,Willie Stewart,"Therapist, art",9740108234,Christine Cruz,Trade union research officer,9251750422,,,,33:38.1,33:38.1,
,C00-0035,Chad Oliver,"Secretary, company",9265195001,Emily Watkins,"Engineer, maintenance",9856379963,,,,33:38.1,33:38.1,
,C00-0036,,,,,,,Jennifer Ball,Uncle,9009058244,33:38.1,33:38.1,
,C00-0037,,,,,,,Derek Howard,Grandparent,9213728271,33:38.1,33:38.1,
,C00-0038,Antonio Huff,Geochemist,9649822686,Sabrina Espinoza,"Research officer, trade union",9981737426,,,,33:38.1,33:38.1,
,C00-0039,Carlos Reynolds,"Engineer, building services",9162721765,Kimberly Brown,Management consultant,9759832123,,,,33:38.1,33:38.1,
,C00-0040,John Clements,"Engineer, production",9372631616,Cynthia Roberts MD,"Restaurant manager, fast food",9274603299,,,,33:38.1,33:38.1,
,C00-0041,Eric Hurst Jr.,International aid/development worker,9861938589,Alice Walker,Corporate treasurer,9504646109,,,,33:38.1,33:38.1,
,C00-0042,John Smith,Data processing manager,9023616638,Mary Taylor,Clinical cytogeneticist,9858905736,,,,33:38.1,33:38.1,
,C00-0043,,,,,,,Nancy Rivas,Grandparent,9929923920,33:38.1,33:38.1,
,C00-0044,Louis Parker,"Engineer, communications",9288188433,Mary Green,Heritage manager,9766791837,,,,33:38.1,33:38.1,
,C00-0045,,,,,,,James Hill,Aunt,9503455123,33:38.1,33:38.1,
,C00-0046,Christopher Arellano,Ophthalmologist,9757471234,Mary Montgomery,Hospital pharmacist,9317202108,,,,33:38.1,33:38.1,
,C00-0047,James Wilson,"Geologist, engineering",9823420700,Danielle Valdez,"Pilot, airline",9232316383,,,,33:38.1,33:38.1,
,C00-0048,Jordan Valencia,"Designer, multimedia",9036451417,Melissa Johnson,"Engineer, electronics",9116615880,,,,33:38.1,33:38.1,
,C00-0049,John Sellers,Health physicist,9398690223,Kelly Holmes,Petroleum engineer,9080508700,,,,33:38.1,33:38.1,
,C00-0050,Darren Ali,Adult guidance worker,9225821526,Norma Spencer,Field seismologist,9150167362,,,,33:38.1,33:38.1,
,C00-0051,Shane Harris,"Scientist, water quality",9129330729,Elizabeth Hunt,"Conservator, museum/gallery",9085932475,,,,33:38.1,33:38.1,
,C00-0052,Mason Chambers MD,"Investment banker, operational",9656024609,Regina Russo,Higher education careers adviser,9765235890,,,,33:38.1,33:38.1,
,C00-0053,Dennis Green,"Producer, radio",9691674820,Mary Parker,Personnel officer,9580755130,,,,33:38.1,33:38.1,
,C00-0054,Scott Rich,Solicitor,9388982106,Rachel Bates,Associate Professor,9195782834,,,,33:38.1,33:38.1,
,C00-0055,Dr. Christian Wall,Energy engineer,9433598029,Maria Campbell,Aeronautical engineer,9838855580,,,,33:38.1,33:38.1,
,C00-0056,Alexander Phillips,Seismic interpreter,9973947793,Michele Anderson,Special educational needs teacher,9215941880,,,,33:38.1,33:38.1,
,C00-0057,,,,,,,Erin Thomas,Uncle,9329059236,33:38.1,33:38.1,
,C00-0058,Mark Webb,Manufacturing engineer,9941440899,Katie Smith,Building services engineer,9134643484,,,,33:38.1,33:38.1,
,C00-0059,Donald Spence,Catering manager,9804096682,Jessica Williams,"Engineer, production",9373182966,,,,33:38.1,33:38.1,
,C00-0060,Keith Mueller,Hospital pharmacist,9362026412,Kimberly Oneill,Radiation protection practitioner,9727506481,,,,33:38.1,33:38.1,
,C00-0061,Troy Bishop,Civil Service administrator,9946774790,Linda Richardson,Pathologist,9967049049,,,,33:38.1,33:38.1,
,C00-0062,Dalton Davis,"Designer, fashion/clothing",9942762494,Lindsey Woods,Electronics engineer,9538551182,,,,33:38.1,33:38.1,
,C00-0063,Edward Hart,Charity fundraiser,9613162485,Megan Brown,Fast food restaurant manager,9520416354,,,,33:38.1,33:38.1,
,C00-0064,Michael Shaw,"Administrator, arts",9612823788,Jacqueline Walker,Aeronautical engineer,9033907761,,,,33:38.1,33:38.1,
,C00-0065,,,,,,,Wendy Turner,Uncle,9754499810,33:38.1,33:38.1,
,C00-0066,Robert Holmes,"Radiographer, diagnostic",9643650783,Carolyn Weaver,Magazine journalist,9173346476,,,,33:38.1,33:38.1,
,C00-0067,,,,,,,Patricia Jenkins,Grandparent,9525009369,33:38.1,33:38.1,
,C00-0068,Danny Lee,Building services engineer,9720914453,Diane Howard,Television/film/video producer,9755739644,,,,33:38.1,33:38.1,
,C00-0069,Cameron King,Minerals surveyor,9921820605,Kathleen Thomas,Advertising art director,9068053454,,,,33:38.1,33:38.1,
,C00-0070,Matthew Baker,Interior and spatial designer,9537790008,Jennifer Hoover,Manufacturing engineer,9250753974,,,,33:38.1,33:38.1,
,C00-0071,,,,,,,Emily Bowman,Uncle,9273897193,33:38.1,33:38.1,
,C00-0072,Billy Green,Patent attorney,9421107624,Amy Russell,Actuary,9566551878,,,,33:38.1,33:38.1,
,C00-0073,Victor Mitchell,Housing manager/officer,9780344658,Amanda Horne,Sales promotion account executive,9506069627,,,,33:38.1,33:38.1,
,C00-0074,,,,,,,Shawn Alexander,Aunt,9582252926,33:38.1,33:38.1,
,C00-0075,Wayne Thomas,Educational psychologist,9504783172,Deborah Webb,Clinical embryologist,9065480903,,,,33:38.1,33:38.1,
,C00-0076,,,,,,,Jonathan Dean,Aunt,9496568401,33:38.1,33:38.1,
,C00-0077,Kerry Sellers,Call centre manager,9897886824,Barbara Blanchard,Production manager,9945860613,,,,33:38.1,33:38.1,
,C00-0078,Matthew Norton,Geochemist,9995747518,Colleen Bradley,Armed forces operational officer,9707804086,,,,33:38.1,33:38.1,
,C00-0079,Nicholas Johnson,Commercial/residential surveyor,9533028842,Susan Mcgee,Museum/gallery conservator,9573174559,,,,33:38.1,33:38.1,
,C00-0080,David Lynch,Scientific laboratory technician,9867663401,Kimberly Mullins,Water engineer,9799554297,,,,33:38.1,33:38.1,
,C00-0081,James Pacheco,Camera operator,9655091991,Erin Williams,Insurance claims handler,9264134460,,,,33:38.1,33:38.1,
,C00-0082,Christopher Martinez,"Designer, interior/spatial",9485117335,Maria Wilkerson,Clinical psychologist,9791776479,,,,33:38.1,33:38.1,
,C00-0083,,,,,,,Troy Chase,Uncle,9192817135,33:38.1,33:38.1,
,C00-0084,Michael Steele,Intelligence analyst,9352571601,Maria Marshall,Medical sales representative,9177647897,,,,33:38.1,33:38.1,
,C00-0085,Nicholas Hunt,Media buyer,9060225789,Elizabeth Higgins,Human resources officer,9214141700,,,,33:38.2,33:38.2,
,C00-0086,Mr. Kevin Brown,Child psychotherapist,9194586903,Megan Owens,"Embryologist, clinical",9963748689,,,,33:38.2,33:38.2,
,C00-0087,Tyler Reed,Ambulance person,9720412763,Christina Young,Occupational psychologist,9610091005,,,,33:38.2,33:38.2,
,C00-0088,Jon Osborne,Sales promotion account executive,9547221332,Lisa Hicks,"Producer, radio",9345200655,,,,33:38.2,33:38.2,
,C00-0089,Mark Hawkins,Insurance risk surveyor,9839865608,Erin Horton,Public house manager,9417155994,,,,33:38.2,33:38.2,
,C00-0090,,,,,,,Nicole Davila,Aunt,9925371167,33:38.2,33:38.2,
,C00-0091,,,,,,,Eddie Haynes,Grandparent,9881480930,33:38.2,33:38.2,
,C00-0092,Joe Scott,Aeronautical engineer,9407557378,Brianna Williams,TEFL teacher,9892605103,,,,33:38.2,33:38.2,
,C00-0093,Garrett Johnson,Glass blower/designer,9179251300,Mrs. Nicole Clements,Insurance claims handler,9199537882,,,,33:38.2,33:38.2,
,C00-0094,Tony Garner,Arts development officer,9080965982,Allison Dunlap,Social researcher,9607866321,,,,33:38.2,33:38.2,
,C00-0095,Curtis Blanchard,Animator,9431952669,Shelly Thomas,"Therapist, speech and language",9954507675,,,,33:38.2,33:38.2,
,C00-0096,William Brown,Theatre stage manager,9505240012,Sarah Lin,"Buyer, industrial",9226272644,,,,33:38.2,33:38.2,
,C00-0097,,,,,,,Tammy Cisneros,Aunt,9627920639,33:38.2,33:38.2,
,C00-0098,,,,,,,William Hall,Grandparent,9857999568,33:38.2,33:38.2,
,C00-0099,Rickey Taylor,Emergency planning/management officer,9468148272,Sandy Landry,"Solicitor, Scotland",9240316745,,,,33:38.2,33:38.2,
,C00-0100,Jacob Kelley,Civil Service fast streamer,9294431011,Rebecca Hall,"Pharmacist, community",9084875741,,,,33:38.2,33:38.2,
,C00-0101,Jeffrey Walsh,Sport and exercise psychologist,9089055770,Elizabeth Brown,Web designer,9003506567,,,,33:38.2,33:38.2,
,C00-0102,,,,,,,Tamara Miller,Aunt,9288518044,33:38.2,33:38.2,
,C00-0103,Grant Wright,Product/process development scientist,9808421354,Jessica Leon,Fish farm manager,9900458268,,,,33:38.2,33:38.2,
,C00-0104,Leslie Maldonado,Print production planner,9666268370,Jennifer Guzman,"Civil engineer, consulting",9280570599,,,,33:38.2,33:38.2,
,C00-0105,,,,,,,Cristina Floyd,Aunt,9497962253,33:38.2,33:38.2,
,C00-0106,Ronald Anderson,"Pilot, airline",9141522690,Jessica Torres,Multimedia specialist,9501039544,,,,33:38.2,33:38.2,
,C00-0107,Taylor Hamilton,Clinical cytogeneticist,9053406584,Lindsay Harris DDS,"Engineer, energy",9478215937,,,,33:38.2,33:38.2,
,C00-0108,Todd Larsen,"Producer, radio",9715072673,Donna Swanson,Occupational hygienist,9949117630,,,,33:38.2,33:38.2,
,C00-0109,Justin Russell,Writer,9009256174,Robyn Dorsey,Dentist,9464600104,,,,33:38.2,33:38.2,
,C00-0110,Kevin Barajas,Medical physicist,9510656490,Donna Meyers,Applications developer,9307873214,,,,33:38.2,33:38.2,
,C00-0111,Joel Lyons,Sports development officer,9877871740,Barbara Brady,Water quality scientist,9386840701,,,,33:38.2,33:38.2,
,C00-0112,Jason Jackson,Banker,9433451485,Anne Anderson,Chief Technology Officer,9561607228,,,,33:38.2,33:38.2,
,C00-0113,Robert Garcia,Accommodation manager,9531974689,Teresa Hahn,Warehouse manager,9338822543,,,,33:38.2,33:38.2,
,C00-0114,,,,,,,Brooke Freeman,Uncle,9010599620,33:38.2,33:38.2,
,C00-0115,,,,,,,Jamie Perez,Uncle,9729572161,33:38.2,33:38.2,
,C00-0116,Jason Carroll,Ranger/warden,9223152597,Colleen Rodriguez,"Administrator, sports",9724333451,,,,33:38.2,33:38.2,
,C00-0117,Kyle Huff,Therapeutic radiographer,9870798453,Angela Stephens DDS,Warehouse manager,9383362514,,,,33:38.2,33:38.2,
,C00-0118,,,,,,,Angela Lawson,Aunt,9849400744,33:38.2,33:38.2,
,C00-0119,Anthony Contreras,Counselling psychologist,9901278369,Emily Aguilar,Retail manager,9559907875,,,,33:38.2,33:38.2,
,C00-0120,Harold Baker,Lawyer,9767641193,Amanda Campos,Housing manager/officer,9910366991,,,,33:38.2,33:38.2,
,C00-0121,,,,,,,Joseph Castaneda,Aunt,9127261086,33:38.2,33:38.2,
,C00-0122,William Mueller,Fitness centre manager,9632901378,Jessica Salazar,Dentist,9428271391,,,,33:38.2,33:38.2,
,C00-0123,Hector Cooper,"Presenter, broadcasting",9263798043,Hannah Ford MD,Town planner,9165053937,,,,33:38.2,33:38.2,
,C00-0124,Juan Freeman,Corporate investment banker,9228847848,Melanie Nguyen,Social worker,9317404364,,,,33:38.2,33:38.2,
,C00-0125,Ronald Krause,Water quality scientist,9120703889,Anita Glover,Company secretary,9827401365,,,,33:38.2,33:38.2,
,C00-0126,Adam Young,Data processing manager,9981951569,Deanna Parker,Dance movement psychotherapist,9869143578,,,,33:38.2,33:38.2,
,C00-0127,Timothy Gardner,Teaching laboratory technician,9214228076,Alicia Clark,Health service manager,9750511087,,,,33:38.2,33:38.2,
,C00-0128,,,,,,,Matthew Owens,Aunt,9943050670,33:38.2,33:38.2,
,C00-0129,Jorge Hale,Museum/gallery curator,9332069797,Teresa Santiago,Community education officer,9196618119,,,,33:38.2,33:38.2,
,C00-0130,Christian Sanchez,Health service manager,9186933686,Gwendolyn Roach,Maintenance engineer,9804282958,,,,33:38.2,33:38.2,
,C00-0131,,,,,,,John Hernandez,Uncle,9606986678,33:38.2,33:38.2,
,C00-0132,Austin Gonzalez,IT sales professional,9358714897,Victoria Jacobs,Occupational hygienist,9513845355,,,,33:38.2,33:38.2,
,C00-0133,,,,,,,Lindsay Cervantes,Aunt,9031770662,33:38.2,33:38.2,
,C00-0134,Jeffrey Miller,Occupational therapist,9450560207,Mrs. Mary Jacobson,Occupational therapist,9025425669,,,,33:38.2,33:38.2,
,C00-0135,Robert Walker,Heritage manager,9603786731,Laura French,Forensic scientist,9409888213,,,,33:38.2,33:38.2,
,C00-0136,,,,,,,Shelby Adams,Grandparent,9380354568,33:38.2,33:38.2,
,C00-0137,,,,,,,Marissa Williams,Aunt,9803610221,33:38.2,33:38.2,
,C00-0138,,,,,,,Christopher Wright,Uncle,9625648664,33:38.2,33:38.2,
,C00-0139,Cody Garcia,Medical physicist,9971631754,Emma Ali,"Editor, commissioning",9126484658,,,,33:38.2,33:38.2,
,C00-0140,Eric Barnes,Learning disability nurse,9646199815,Sara Thomas,"Doctor, general practice",9154118095,,,,33:38.2,33:38.2,
,C00-0141,Isaiah Coffey,"Surveyor, minerals",9520873266,Abigail Lynch,Medical sales representative,9025679930,,,,33:38.2,33:38.2,
,C00-0142,Joseph Werner,Horticultural therapist,9166457106,Crystal Garza,"Surveyor, commercial/residential",9961728076,,,,33:38.2,33:38.2,
,C00-0143,,,,,,,Teresa Harrison,Aunt,9861058831,33:38.2,33:38.2,
,C00-0144,John Garcia,Theatre director,9036566034,Julie Smith MD,"Research officer, trade union",9484814022,,,,33:38.2,33:38.2,
,C00-0145,Brian Wade,Estate manager/land agent,9315476757,Julie Juarez,Music therapist,9842036923,,,,33:38.2,33:38.2,
,C00-0146,Nathan Perry,Make,9201214088,Tamara Walker,Wellsite geologist,9870829132,,,,33:38.2,33:38.2,
,C00-0147,Richard Hall,Oncologist,9578409988,Christine Suarez,Armed forces logistics/support/administrative officer,9804017850,,,,33:38.2,33:38.2,
,C00-0148,Dennis Townsend,Quality manager,9965400236,Misty Kramer,Air cabin crew,9522665019,,,,33:38.2,33:38.2,
,C00-0149,Brian Stafford,Prison officer,9631280228,Kathleen Howe,Midwife,9972913800,,,,33:38.2,33:38.2,
,C00-0150,James Diaz,"Research officer, government",9384630223,Gina Flores,"Horticulturist, amenity",9862872583,,,,33:38.2,33:38.2,
,C00-0151,Mr. Scott Rivera,Textile designer,9546727340,Pamela Rodriguez,Human resources officer,9192874866,,,,33:38.2,33:38.2,
,C00-0152,,,,,,,Christopher Clark,Uncle,9666866344,33:38.2,33:38.2,
,C00-0153,,,,,,,Amanda Ball,Aunt,9425280570,33:38.3,33:38.3,
,C00-0154,Curtis Howard,Chemical engineer,9433478870,Katrina Le,Theme park manager,9119799563,,,,33:38.3,33:38.3,
,C00-0155,Bryan Thompson,"Journalist, broadcasting",9010376259,Diane Stevens,Fitness centre manager,9690777544,,,,33:38.3,33:38.3,
,C00-0156,Brandon Ramirez,Housing manager/officer,9442363192,Lisa Clements,"Editor, commissioning",9728902364,,,,33:38.3,33:38.3,
,C00-0157,Raymond Malone,"Radiographer, diagnostic",9698307970,Ariel Jones,Multimedia programmer,9944945844,,,,33:38.3,33:38.3,
,C00-0158,Philip Pineda,Investment analyst,9494480988,Sherri Bean,Sports coach,9767504637,,,,33:38.3,33:38.3,
,C00-0159,William Larson,Holiday representative,9261296345,Amy Hopkins,Financial manager,9122027504,,,,33:38.3,33:38.3,
,C00-0160,Joshua Shah,Teaching laboratory technician,9131073711,Molly Barry,Archaeologist,9147005343,,,,33:38.3,33:38.3,
,C00-0161,Samuel Adams,Toxicologist,9605044415,Brianna Ramirez,Cabin crew,9827717123,,,,33:38.3,33:38.3,
,C00-0162,Kenneth Landry,Electrical engineer,9410570382,Sherry Lloyd,Ergonomist,9858347832,,,,33:38.3,33:38.3,
,C00-0163,Frank May,Higher education lecturer,9910417106,Lisa Baldwin,Sub,9634244200,,,,33:38.3,33:38.3,
,C00-0164,,,,,,,Heather Cole,Aunt,9322683382,33:38.3,33:38.3,
,C00-0165,Gabriel Jenkins,"Embryologist, clinical",9649992639,Sarah Ward,Catering manager,9754974833,,,,33:38.3,33:38.3,
,C00-0166,,,,,,,Patrick Miller,Uncle,9852760216,33:38.3,33:38.3,
,C00-0167,,,,,,,Mary Martin,Uncle,9598841816,33:38.3,33:38.3,
,C00-0168,Donald Gonzalez,Geoscientist,9703932619,Kristin Myers,"Teacher, music",9438657822,,,,33:38.3,33:38.3,
,C00-0169,,,,,,,Nathan Gray,Uncle,9811726070,33:38.3,33:38.3,
,C00-0170,,,,,,,Roger Jones,Grandparent,9470266699,33:38.3,33:38.3,
,C00-0171,Joseph Quinn,Chartered public finance accountant,9783854322,Melanie Robinson,Stage manager,9540026454,,,,33:38.3,33:38.3,
,C00-0172,Darren Obrien,"Engineer, biomedical",9764491671,Patricia Ruiz,"Investment banker, operational",9984667771,,,,33:38.3,33:38.3,
,C00-0173,,,,,,,Tracy Mccarthy,Grandparent,9284390629,33:38.3,33:38.3,
,C00-0174,Adrian Cherry,Careers information officer,9758363820,Sarah Newman,Furniture designer,9904606359,,,,33:38.3,33:38.3,
,C00-0175,,,,,,,Hunter Baker,Aunt,9482530108,33:38.3,33:38.3,
,C00-0176,,,,,,,Adam Powers,Aunt,9853169410,33:38.3,33:38.3,
,C00-0177,,,,,,,Nancy Thomas,Grandparent,9119602062,33:38.3,33:38.3,
,C00-0178,Jason Randall,"Pilot, airline",9297139195,Sarah Gonzalez,"Engineer, aeronautical",9013965503,,,,33:38.3,33:38.3,
,C00-0179,Rodney Martinez,"Surveyor, quantity",9640596435,Kimberly Knox,"Designer, graphic",9857202445,,,,33:38.3,33:38.3,
,C00-0180,John Anderson,Statistician,9465783255,Samantha Miller,"Engineer, site",9415343761,,,,33:38.3,33:38.3,
,C00-0181,,,,,,,James Mitchell,Uncle,9456117789,33:38.3,33:38.3,
,C00-0182,Stephen Perry,"Engineer, drilling",9440600590,Laura Barr,Music tutor,9728292534,,,,33:38.3,33:38.3,
,C00-0183,Joshua Oliver,Retail manager,9927529099,Alexandria Allen,Professor Emeritus,9030279448,,,,33:38.3,33:38.3,
,C00-0184,,,,,,,Lance Petersen,Grandparent,9801253143,33:38.3,33:38.3,
,C00-0185,,,,,,,Olivia Harris,Aunt,9402611137,33:38.3,33:38.3,
,C00-0186,,,,,,,Michael Hernandez,Grandparent,9113668434,33:38.3,33:38.3,
,C00-0187,,,,,,,Madison Tapia,Aunt,9640469998,33:38.3,33:38.3,
,C00-0188,Lee Mack,Human resources officer,9107200282,Kristen Quinn,Ranger/warden,9023702796,,,,33:38.3,33:38.3,
,C00-0189,Joseph Garcia,Research scientist (life sciences),9269866786,Pamela Chen,Pathologist,9496680984,,,,33:38.3,33:38.3,
,C00-0190,Michael Mills,Water engineer,9995171169,Joanna Winters,Interior and spatial designer,9263790205,,,,33:38.3,33:38.3,
,C00-0191,,,,,,,Heather West,Aunt,9737296502,33:38.3,33:38.3,
,C00-0192,Andrew White,Investment analyst,9404098497,Sandra Willis,Volunteer coordinator,9616759200,,,,33:38.3,33:38.3,
,C00-0193,Chad Mejia,"Lecturer, further education",9982039153,Kayla Sanchez,Public relations officer,9700041166,,,,33:38.3,33:38.3,
,C00-0194,Tyler Reilly,"Surveyor, hydrographic",9294155336,Sara Sanchez,"Therapist, sports",9381412750,,,,33:38.3,33:38.3,
,C00-0195,Jacob Brewer,"Engineer, electronics",9766520178,Dawn Stone,Web designer,9520937952,,,,33:38.3,33:38.3,
,C00-0196,,,,,,,Carol Greer,Uncle,9823072434,33:38.3,33:38.3,
,C00-0197,Robert Anderson,Television floor manager,9362776692,Ruth Thomas,Environmental health practitioner,9442331114,,,,33:38.3,33:38.3,
,C00-0198,Preston Martinez,Network engineer,9125127045,Kimberly Love,"Pilot, airline",9908071338,,,,33:38.3,33:38.3,
,C00-0199,Eric Harrington,Air broker,9205722593,Mrs. Hannah Mason DVM,Medical secretary,9571124188,,,,33:38.3,33:38.3,
,C00-0200,Jeffrey Atkins,Chiropractor,9637825667,Christine Barnett,Visual merchandiser,9746694926,,,,33:38.3,33:38.3,
,C00-0201,Joshua Anderson,"Radiographer, diagnostic",9130936110,Betty Miller,Biomedical engineer,9465932978,,,,33:38.3,33:38.3,
,C00-0202,Chad Miller,Immigration officer,9375671588,Sara Murray,Government social research officer,9305004417,,,,33:38.3,33:38.3,
,C00-0203,Dustin Hanna,Industrial buyer,9641611463,Amanda Richardson,Cytogeneticist,9099898195,,,,33:38.3,33:38.3,
,C00-0204,,,,,,,Christopher Hardin,Grandparent,9242487533,33:38.3,33:38.3,
,C00-0205,James Mcmahon,"Scientist, product/process development",9192391770,Kristen Parker,"Scientist, research (maths)",9847291034,,,,33:38.3,33:38.3,
,C00-0206,Tyler Robinson,Land,9841964591,Kimberly Montoya,Surgeon,9914241460,,,,33:38.3,33:38.3,
,C00-0207,Johnathan Grant MD,Soil scientist,9802787428,Vanessa Phillips,"Geneticist, molecular",9092686905,,,,33:38.3,33:38.3,
,C00-0208,Timothy Lyons,Senior tax professional/tax inspector,9994690136,Heather Robbins,Animator,9286757271,,,,33:38.3,33:38.3,
,C00-0209,Robert Perez,Exercise physiologist,9867101146,Stacey Shelton,Astronomer,9085372119,,,,33:38.3,33:38.3,
,C00-0210,Matthew Martin,Wellsite geologist,9304997077,Lori Figueroa,Sports administrator,9578357485,,,,33:38.3,33:38.3,
,C00-0211,David Johnston,"Conservation officer, nature",9760145045,Laura Smith,Air traffic controller,9016238375,,,,33:38.3,33:38.3,
,C00-0212,Jon Davis,Soil scientist,9602055167,Gina Tanner,Radiation protection practitioner,9408011740,,,,33:38.3,33:38.3,
,C00-0213,,,,,,,Matthew Smith,Uncle,9170006121,33:38.3,33:38.3,
,C00-0214,Wesley Meadows,Claims inspector/assessor,9905534614,Diane Rivera,"Geologist, engineering",9939472695,,,,33:38.3,33:38.3,
,C00-0215,Billy Smith,Health promotion specialist,9733818597,Katherine Lynch,Control and instrumentation engineer,9614284263,,,,33:38.3,33:38.3,
,C00-0216,,,,,,,Kim Vaughn,Uncle,9057754512,33:38.3,33:38.3,
,C00-0217,Jimmy Knight,Control and instrumentation engineer,9647628264,Brittany Avery,Corporate investment banker,9975197799,,,,33:38.3,33:38.3,
,C00-0218,Mark Evans,Call centre manager,9732078909,Sarah Romero,Visual merchandiser,9290624240,,,,33:38.3,33:38.3,
,C00-0219,,,,,,,Jennifer Howell,Grandparent,9366881855,33:38.3,33:38.3,
,C00-0220,,,,,,,Brandi Silva,Uncle,9963778961,33:38.3,33:38.3,
,C00-0221,,,,,,,Matthew Jones,Uncle,9163411598,33:38.3,33:38.3,
,C00-0222,Michael Brown,"Surveyor, minerals",9046534131,Stacy Peterson,Chemical engineer,9943191577,,,,33:38.3,33:38.3,
,C00-0223,,,,,,,Dan Sullivan,Grandparent,9183840069,33:38.4,33:38.4,
,C00-0224,,,,,,,Derek Prince,Aunt,9693416339,33:38.4,33:38.4,
,C00-0225,Aaron Morrow,Photographer,9497928356,Emily Burns,English as a second language teacher,9987296430,,,,33:38.4,33:38.4,
,C00-0226,,,,,,,Jamie Powell,Grandparent,9218370096,33:38.4,33:38.4,
,C00-0227,Joshua King,Brewing technologist,9662940598,Penny Wells,Clothing/textile technologist,9166827617,,,,33:38.4,33:38.4,
,C00-0228,Jonathan Mcpherson,"Teacher, music",9416423508,Deanna Guzman,Ship broker,9579551477,,,,33:38.4,33:38.4,
